,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
95,Victor Moses,Chelsea,28.0,2128.0,3,3,9.65,5.04,0.13,0.11,0.24
96,Juan Mata,Manchester United,28.0,1942.0,3,5,14.23,8.8,0.18,0.22,0.4
97,Emre Can,Liverpool,26.0,2099.0,3,4,15.17,12.48,0.06,0.13,0.2
98,Christian Benteke,Crystal Palace,31.0,2224.0,3,5,12.04,3.17,0.45,0.13,0.58
99,Kelechi Iheanacho,Leicester,21.0,809.0,3,3,5.07,0.7,0.54,0.23,0.77
100,Antonio Valencia,Manchester United,31.0,2746.0,3,1,9.93,8.82,0.02,0.05,0.07
101,André Ayew,"Swansea, West Ham",30.0,1859.0,3,4,5.01,1.84,0.23,0.07,0.3
102,Demarai Gray,Leicester,35.0,1680.0,3,1,8.22,3.46,0.14,0.17,0.32
103,Daryl Janmaat,Watford,23.0,1823.0,3,0,4.68,3.05,0.08,0.05,0.13
104,Jamaal Lascelles,Newcastle United,33.0,2929.0,3,0,3.31,3.2,0.05,0.01,0.06
105,Andy King,"Leicester, Swansea",22.0,1264.0,3,0,2.13,1.55,0.11,0.02,0.13
106,James Ward-Prowse,Southampton,30.0,1714.0,3,3,5.33,3.22,0.12,0.21,0.33
107,Steven Davis,Southampton,23.0,1529.0,3,0,5.11,3.52,0.08,0.07,0.14
108,Alex Oxlade-Chamberlain,"Arsenal, Liverpool",35.0,1705.0,3,7,11.88,6.25,0.14,0.26,0.4
109,Sam Clucas,Swansea,29.0,2043.0,3,1,4.25,2.11,0.09,0.04,0.13
110,Shkodran Mustafi,Arsenal,27.0,2272.0,3,1,9.47,9.41,0.03,0.08,0.1
111,Vicente Iborra,Leicester,19.0,1424.0,3,0,5.87,5.2,0.1,0.03,0.13
112,Danilo,Manchester City,23.0,1338.0,3,2,14.04,12.89,0.08,0.01,0.1
113,Anthony Knockaert,Brighton,33.0,2433.0,3,1,8.72,3.19,0.16,0.11,0.27
114,Rajiv van La Parra,Huddersfield,33.0,2165.0,3,0,4.76,2.01,0.13,0.03,0.16
115,Sead Kolasinac,Arsenal,27.0,2154.0,2,4,15.23,11.6,0.11,0.17,0.27
116,Steve Cook,Bournemouth,34.0,2761.0,2,1,3.28,2.95,0.04,0.03,0.08
117,Andrew Surman,Bournemouth,25.0,1842.0,2,5,3.84,2.93,0.05,0.07,0.12
118,Dan Gosling,Bournemouth,28.0,1940.0,2,1,5.97,3.59,0.11,0.04,0.15
119,Joe Allen,Stoke,36.0,3143.0,2,6,7.96,4.57,0.06,0.07,0.13
120,Jordon Ibe,Bournemouth,32.0,2005.0,2,6,6.12,2.68,0.13,0.17,0.3
121,Daniel Sturridge,"Liverpool, West Bromwich Albion",15.0,539.0,2,1,3.57,0.39,0.44,0.15,0.59
122,Héctor Bellerín,Arsenal,35.0,3051.0,2,3,19.9,14.83,0.07,0.14,0.21
123,Laurent Koscielny,Arsenal,25.0,2232.0,2,0,7.93,7.8,0.09,0.02,0.11
124,Cheikhou Kouyaté,West Ham,33.0,2803.0,2,3,5.36,3.48,0.06,0.03,0.09
